# athena_event_details,athena id,external id,datetime,time error,time rms,latitude,longitude,ellipse major,ellipse minor,magnitude,magnitude type,depth (km),depth error,num. stations,num. phases,azimuth gap,analysis type,place,major place,athena database id,error ellipse max axis length (km),error ellipse max axis azimuth (deg),error ellipse max axis dip (deg),error ellipse intermediate axis length (km),error ellipse intermediate axis azimuth (deg),error ellipse intermediate axis dip (deg),error ellipse min axis length (km),error ellipse min axis azimuth (deg),error ellipse min axis dip (deg),seismic moment (N.m),corner frequency (Hz),stress drop (MPa),source radius (km),moment tensor np1 dip,moment tensor np1 strike,moment tensor np1 rake,tags,updated at,moment tensor np2 dip,moment tensor np2 strike,moment tensor np2 rake,event source type,reference elevation (km),horizontal error (km)
athena_event_details,20230220-50,,2023-02-20T22:56:57Z,,0.0,36.09,35.71,,,4.0,mb,10.00,0,0,0,0.0,m,Mediterranean Sea,192.0 km NE of Ammochostos,75124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:27:17.825Z,,,,Nanometrics,0.0,
athena_event_details,20230220-49,,2023-02-20T19:09:22Z,,0.0,36.24,36.14,,,4.1,mb,5.00,0,0,0,0.0,m,,234.0 km NE of Ammochostos,75123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:26:58.806Z,,,,Nanometrics,0.0,
athena_event_details,20230220-48,,2023-02-20T19:00:14Z,,0.0,36.1289,36.0653,,,4.2,mb,10.00,0,0,0,0.0,m,,222.0 km NE of Ammochostos,75122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:26:40.324Z,,,,Nanometrics,0.0,
athena_event_details,20230220-46,,2023-02-20T18:30:53Z,,0.0,36.24,36.12,,,4.0,mb,5.00,0,0,0,0.0,m,,232.0 km NE of Ammochostos,75120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:25:38.228Z,,,,Nanometrics,0.0,
athena_event_details,20230220-45,,2023-02-20T18:06:25Z,,0.0,36.16,35.93,,,4.0,mb,9.00,0,0,0,0.0,m,,213.0 km NE of Ammochostos,75119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:25:23.062Z,,,,Nanometrics,0.0,
athena_event_details,20230220-44,,2023-02-20T17:38:44Z,,0.0,36.0786,36.0002,,,4.1,mb,10.00,0,0,0,0.0,m,,214.0 km NE of Ammochostos,75118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:25:06.149Z,,,,Nanometrics,0.0,
athena_event_details,20230220-41,,2023-02-20T17:24:10Z,,0.0,36.1547,36.0333,,,4.0,mb,10.00,0,0,0,0.0,m,,221.0 km NE of Ammochostos,75115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-21T12:24:17.888Z,,,,Nanometrics,0.0,
athena_event_details,20230220-37,,2023-02-20T17:04:25Z,,0.59,36.411,36.06216666666667,,,6.4,Ml,5.00,31.61,33,26,314.0,m,,239.0 km NE of Ammochostos,75107,31.61,0.0,90.0,3.92,146.0,0.0,2.54,236.0,0.0,,,,,,,,"",2023-02-21T06:57:26.157Z,,,,Nanometrics,0.114,
athena_event_details,20230216-18,,2023-02-16T19:47:53Z,,0.79,35.688,36.023,,,5.0,Ml,17.14,48.74,33,23,333.0,m,,198.0 km E of Ammochostos,75028,62.38,65.0,51.0,7.85,158.0,2.0,2.68,250.0,39.0,,,,,,,,felt,2023-02-17T09:42:38.209Z,,,,Nanometrics,0.114,
athena_event_details,20230216-19,,2023-02-16T11:16:16Z,,0.74,35.970166666666664,36.49283333333333,,,5.0,Ml,11.00,46.90,33,21,335.0,m,,249.0 km NE of Ammochostos,75029,59.99,66.0,51.0,10.09,337.0,0.0,2.63,247.0,39.0,,,,,,,,"",2023-02-17T10:14:52.759Z,,,,Nanometrics,0.183,
